binding_affinity,predicted,residual,logp,protein_pi,molecular_weight,protein_length,hydrophobicity,rotatable_bonds,polar_surface_area
15.039709372980742,8.078901335691736,6.960808037289006,5.343470753733593,8.592603081549102,651.020453876635,1384,0.8688409470480316,2,50.034321852142696
13.748708114593096,7.573080063542019,6.175628051051078,5.151984436603643,7.262200444518257,422.318670011108,1049,0.74263875444447,6,75.04676449281901
13.27583256081832,7.374465464081089,5.90136709673723,5.09031486124832,6.939804377299826,532.2544912103189,890,0.7086683814212422,6,50.38005367221866
10.402374113462232,5.684327183331464,4.718046930130767,2.2083681347396444,5.597444136511158,398.8784323568815,382,0.8233799034137054,7,51.85122044275973
2.914930544918184,7.292842927579457,-4.377912382661274,5.095911481341284,6.439634724550896,253.36434106239983,685,0.8026998808375005,7,82.51679201066635
2.414596823209193,6.70870232247351,-4.294105499264317,1.8934194805264268,8.802161319835717,347.561235866571,1463,0.7343024769416151,8,108.5520750666123
9.91590914869753,5.952104729494231,3.9638044192032993,2.207445394615613,6.6261763808294765,463.3540904782282,613,0.5137665926025555,9,108.64851056506326
2.475567553572212,6.373477916975921,-3.8979103634037093,2.380132480189641,7.387375489683644,393.7533224105732,1105,0.7244529923983464,4,72.81858591868868
2.51970937847748,6.384736450931949,-3.8650270724544686,3.625739941894041,6.1264056654988845,638.2024496475034,240,0.7410077166023553,4,106.41253963270432
2.432011679319397,6.142499280678358,-3.710487601358961,2.4836530214965173,6.567355344436727,516.2130674521047,908,0.765103014133554,3,73.92390708875865
