binding_affinity,predicted,residual,logp,protein_pi,molecular_weight,protein_length,hydrophobicity,rotatable_bonds,polar_surface_area,logp_pi_interaction,mw_ratio
15.039709372980742,8.57957576878787,6.460133604192871,5.343470753733593,8.592603081549102,651.020453876635,1384,0.8688409470480316,2,50.034321852142696,45.91432326469877,0.4703905013559501
13.748708114593096,7.8140056960169435,5.934702418576153,5.151984436603643,7.262200444518257,422.318670011108,1049,0.74263875444447,6,75.04676449281901,37.41474366565412,0.4025916777989589
13.27583256081832,7.583194351804736,5.692638209013583,5.09031486124832,6.939804377299826,532.2544912103189,890,0.7086683814212422,6,50.38005367221866,35.325789355925444,0.5980387541688976
10.402374113462232,5.692277393540564,4.710096719921667,2.2083681347396444,5.597444136511158,398.8784323568815,382,0.8233799034137054,7,51.85122044275973,12.361217267056508,1.0441843778975954
2.914930544918184,7.423526264739976,-4.508595719821791,5.095911481341284,6.439634724550896,253.36434106239983,685,0.8026998808375005,7,82.51679201066635,32.815808528482926,0.3698749504560581
9.91590914869753,5.793401799811051,4.1225073488864785,2.207445394615613,6.6261763808294765,463.3540904782282,613,0.5137665926025555,9,108.64851056506326,14.626922535772778,0.7558794298176643
2.51970937847748,6.358918827610337,-3.8392094491328566,3.625739941894041,6.1264056654988845,638.2024496475034,240,0.7410077166023553,4,106.41253963270432,22.21275372164525,2.659176873531264
2.414596823209193,6.209350730880383,-3.7947539076711894,1.8934194805264268,8.802161319835717,347.561235866571,1463,0.7343024769416151,8,108.5520750666123,16.66618371371315,0.2375674886306021
9.046027689048504,5.3096843350404574,3.7363433540080466,1.1790440165924516,5.742960434476046,513.517180168197,612,0.788258448332607,8,121.40304043523066,6.771203137796169,0.8390803597519558
2.475567553572212,6.1811585382248255,-3.7055909846526136,2.380132480189641,7.387375489683644,393.7533224105732,1105,0.7244529923983464,4,72.81858591868868,17.5829323463529,0.3563378483353603
