logp,protein_pi,molecular_weight,protein_length,hydrophobicity,rotatable_bonds,polar_surface_area,binding_affinity
1.778462915276499,7.101438446827067,342.9915233673848,568,0.7571113369872431,6,70.88292207564804,5.823343608833766
5.983110669632443,6.806018919162082,555.0654396007612,1009,0.5819325002791028,4,78.90938668763333,8.105580143770084
1.1028134721743783,5.601640731207168,405.3485047932979,1082,0.7002714872302497,4,100.05074838177394,5.394313334833432
4.668404755268171,7.029586613275856,509.51570254369136,929,0.7737359715735833,2,105.45141685147745,7.544172451903757
2.1783974950080616,6.8064737610313255,617.2572386837703,1321,0.6990433417247878,1,90.99018835680452,5.861098592043324
0.6801134222914325,4.744313512672165,434.432276460792,1107,0.7674644367950788,7,60.32038672446817,5.166661333622278
3.3926011222129,4.721552513616099,360.2745628514168,1308,0.5264633383746696,9,85.58132625307823,5.630489630942352
1.200949160165104,7.671728726122851,281.656180777905,1258,0.4221172282147095,6,89.45508479909523,5.40337584910694
2.919304025315728,6.647454272152001,385.3427115757473,578,0.7200509113575734,7,88.84004331765374,6.149592093139004
2.2041755591153507,6.40931533051405,523.264007721558,1209,0.6677353657754916,10,82.8701488308613,6.13445554639164
2.893403865224058,6.502888661525951,384.3105721028604,1353,0.5286997299624403,9,81.97583442548802,5.818353320809616
1.7309463175510742,5.07437739986058,560.0959634998571,801,0.5262124628167453,3,95.0256145747674,4.8282504474186885
4.1007220797594925,7.55339218985271,405.67177488084894,390,0.670486340314671,9,108.09656628401352,7.206489507898908
2.9461891993288307,6.317049131749261,234.66098863962853,267,0.6326488155804885,5,99.7096951205658,5.591925124823044
4.086043881392216,5.039313620132549,567.9297184063827,734,0.5674590425283723,6,84.74888061464672,6.274324192387109
2.800256931157703,8.073938146571466,537.2457328280145,812,0.7917726634283043,5,77.20866308710092,6.694139779374654
5.454917055974096,7.924003492219277,584.0450446023144,969,0.785486593988367,4,95.71638910034665,8.094954375508472
4.2233734290209854,6.908533012139805,380.02744920074144,726,0.5612685634560857,4,51.52048088693933,7.0878976155346205
